model,task,eval_split,score_threshold,cutoff,group,n_images,n_gt,n_pred,n_unmatched,n_forgiven,recall,precision,f1
Detectree2,TreePolygons,validation,0.1,0.75,Frey et al. 2026,61,2725,6100,4847,4171,0.4333467750091916,0.6573200176314866,0.5223364490632899
Detectree2,TreePolygons,validation,0.1,0.8,overall (macro),85,4329,8500,6538,5338,0.4603142430243319,0.6226789204807697,0.5293255499427969
Detectree2,TreePolygons,validation,0.1,0.8,Allen et al. 2025,24,1604,2400,1691,1168,0.4872817110394722,0.5884021220550072,0.5330889690689203
Detectree2,TreePolygons,validation,0.1,0.8,Frey et al. 2026,61,2725,6100,4847,4170,0.4333467750091916,0.6569557189065321,0.5222213903034438
Detectree2,TreePolygons,validation,0.1,0.85,overall (macro),85,4329,8500,6538,5327,0.4603142430243319,0.6207147784791835,0.5286145842639287
Detectree2,TreePolygons,validation,0.1,0.85,Allen et al. 2025,24,1604,2400,1691,1158,0.4872817110394722,0.5852189945346964,0.5317786953566638
Detectree2,TreePolygons,validation,0.1,0.85,Frey et al. 2026,61,2725,6100,4847,4169,0.4333467750091916,0.6562105624236708,0.521985803194663
Detectree2,TreePolygons,validation,0.1,0.9,overall (macro),85,4329,8500,6538,5318,0.4603142430243319,0.6188116612158925,0.5279232391474736
Detectree2,TreePolygons,validation,0.1,0.9,Allen et al. 2025,24,1604,2400,1691,1149,0.4872817110394722,0.581412760008114,0.5302016847513393
Detectree2,TreePolygons,validation,0.1,0.9,Frey et al. 2026,61,2725,6100,4847,4169,0.4333467750091916,0.6562105624236708,0.521985803194663
Detectree2,TreePolygons,validation,0.1,0.95,overall (macro),85,4329,8500,6538,5297,0.4603142430243319,0.6156017956317765,0.5267516504626313
Detectree2,TreePolygons,validation,0.1,0.95,Allen et al. 2025,24,1604,2400,1691,1128,0.4872817110394722,0.5749930288398823,0.5275162373920097
Detectree2,TreePolygons,validation,0.1,0.95,Frey et al. 2026,61,2725,6100,4847,4169,0.4333467750091916,0.6562105624236708,0.521985803194663
Detectree2,TreePolygons,validation,0.1,1.0,overall (macro),85,4329,8500,6538,5095,0.4603142430243319,0.5812514177751118,0.513761765484105
Detectree2,TreePolygons,validation,0.1,1.0,Allen et al. 2025,24,1604,2400,1691,950,0.4872817110394722,0.5184931509676884,0.5024031506645149
Detectree2,TreePolygons,validation,0.1,1.0,Frey et al. 2026,61,2725,6100,4847,4145,0.4333467750091916,0.6440096845825352,0.5180820468543675
Detectree2,TreePolygons,validation,0.1,1.0001,overall (macro),85,4329,8500,6538,0,0.4603142430243319,0.2504132513661202,0.32436844544677823
Detectree2,TreePolygons,validation,0.1,1.0001,Allen et al. 2025,24,1604,2400,1691,0,0.4872817110394722,0.2954166666666666,0.36783298114093355
Detectree2,TreePolygons,validation,0.1,1.0001,Frey et al. 2026,61,2725,6100,4847,0,0.4333467750091916,0.20540983606557378,0.2787092562984502
